7.1 74
7.2 87
7.3 99
7.4 105
8.0 120
8.1 147
8.2 155
8.3 168
8.4 170
9.0 182
9.1 192
9.2 197
9.3 205
9.4 214
9.5 222
10 242
11 256
12 279
13 292
14 304
15 309
